Date,Entity,Site,Commodity,Headcount,TrainingHours,ContractorRatio,Scenario
2025-04-01,British Columbia,South Pit,Gold,178.9,6.9,0.28,Budget
2025-04-01,British Columbia,South Pit,Copper,155.4,6.4,0.18,Budget
2025-04-01,British Columbia,South Pit,Zinc,126.7,6.2,0.37,Actual
2025-04-01,British Columbia,South Pit,Nickel,172.3,4.8,0.17,Budget
2025-04-01,British Columbia,Mill A,Gold,207.0,6.2,0.15,Actual
2025-04-01,British Columbia,Mill A,Copper,129.3,6.2,0.47,Budget
2025-04-01,British Columbia,Mill A,Zinc,150.5,4.0,0.32,Budget
2025-04-01,British Columbia,Mill A,Nickel,151.9,8.5,0.44,Budget
2025-04-01,British Columbia,Mill B,Gold,144.1,4.4,0.26,Budget
2025-04-01,British Columbia,Mill B,Copper,173.1,2.6,0.33,Budget
2025-04-01,British Columbia,Mill B,Zinc,123.3,6.5,0.43,Budget
2025-04-01,British Columbia,Mill B,Nickel,125.3,3.5,0.41,Budget
2025-04-01,Nova Scotia,North Pit,Gold,137.4,9.1,0.17,Budget
2025-04-01,Nova Scotia,North Pit,Copper,123.3,7.3,0.5,Budget
2025-04-01,Nova Scotia,North Pit,Zinc,179.9,5.8,0.28,Budget
2025-04-01,Nova Scotia,North Pit,Nickel,142.5,5.1,0.15,Actual
2025-04-01,Nova Scotia,South Pit,Gold,125.9,7.2,0.29,Actual
2025-04-01,Nova Scotia,South Pit,Copper,133.2,2.1,0.23,Budget
2025-04-01,Nova Scotia,South Pit,Zinc,123.6,2.8,0.4,Budget
2025-04-01,Nova Scotia,South Pit,Nickel,178.7,7.3,0.16,Budget
2025-04-01,Nova Scotia,Mill A,Gold,183.8,4.0,0.29,Actual
2025-04-01,Nova Scotia,Mill A,Copper,177.2,6.5,0.41,Budget
2025-04-01,Nova Scotia,Mill A,Zinc,114.0,2.4,0.32,Actual
2025-04-01,Nova Scotia,Mill A,Nickel,149.6,3.3,0.49,Actual
2025-04-01,Nova Scotia,Mill B,Gold,119.3,1.7,0.32,Actual
2025-04-01,Nova Scotia,Mill B,Copper,156.3,7.4,0.11,Budget
2025-04-01,Nova Scotia,Mill B,Zinc,169.0,9.8,0.14,Budget
2025-04-01,Nova Scotia,Mill B,Nickel,162.0,3.7,0.36,Budget
2025-05-01,Canada,North Pit,Gold,172.6,9.1,0.39,Actual
2025-05-01,Canada,North Pit,Copper,138.1,5.6,0.25,Budget
2025-05-01,Canada,North Pit,Zinc,135.8,2.3,0.42,Actual
2025-05-01,Canada,North Pit,Nickel,129.8,4.0,0.35,Budget
2025-05-01,Canada,South Pit,Gold,141.5,2.1,0.35,Budget
2025-05-01,Canada,South Pit,Copper,201.2,3.1,0.46,Actual
2025-05-01,Canada,South Pit,Zinc,151.6,5.8,0.42,Actual
2025-05-01,Canada,South Pit,Nickel,143.0,6.4,0.23,Budget
2025-05-01,Canada,Mill A,Gold,147.4,8.6,0.21,Budget
2025-05-01,Canada,Mill A,Copper,156.0,2.3,0.3,Budget
2025-05-01,Canada,Mill A,Zinc,145.3,3.8,0.27,Actual
2025-05-01,Canada,Mill A,Nickel,146.7,4.4,0.37,Budget
2025-05-01,Canada,Mill B,Gold,155.2,2.0,0.2,Budget
2025-05-01,Canada,Mill B,Copper,145.8,5.8,0.27,Budget
2025-05-01,Canada,Mill B,Zinc,159.1,9.2,0.28,Actual
2025-05-01,Canada,Mill B,Nickel,175.9,2.6,0.4,Budget
2025-05-01,Holding Company,North Pit,Gold,125.1,4.5,0.2,Budget
2025-05-01,Holding Company,North Pit,Copper,107.8,4.9,0.22,Actual
2025-05-01,Holding Company,North Pit,Zinc,151.9,10.0,0.18,Budget
2025-05-01,Holding Company,North Pit,Nickel,118.1,3.6,0.21,Actual
2025-05-01,Holding Company,South Pit,Gold,172.6,9.7,0.25,Budget
2025-05-01,Holding Company,South Pit,Copper,177.2,5.9,0.4,Budget
2025-05-01,Holding Company,South Pit,Zinc,144.5,7.8,0.13,Budget
2025-05-01,Holding Company,South Pit,Nickel,135.6,6.6,0.16,Budget
2025-05-01,Holding Company,Mill A,Gold,117.7,4.6,0.25,Actual
2025-05-01,Holding Company,Mill A,Copper,158.7,9.7,0.46,Budget
2025-05-01,Holding Company,Mill A,Zinc,160.5,7.9,0.44,Budget
2025-05-01,Holding Company,Mill A,Nickel,130.8,3.1,0.2,Budget
2025-05-01,Holding Company,Mill B,Gold,178.1,7.6,0.44,Budget
2025-05-01,Holding Company,Mill B,Copper,139.5,2.7,0.4,Actual
2025-05-01,Holding Company,Mill B,Zinc,117.9,2.4,0.37,Actual
2025-05-01,Holding Company,Mill B,Nickel,115.4,2.3,0.07,Actual
2025-05-01,Alberta,North Pit,Gold,174.7,6.4,0.23,Budget
2025-05-01,Alberta,North Pit,Copper,148.3,7.5,0.4,Budget
2025-05-01,Alberta,North Pit,Zinc,163.5,9.3,0.37,Budget
2025-05-01,Alberta,North Pit,Nickel,210.1,2.5,0.15,Actual
2025-05-01,Alberta,South Pit,Gold,163.5,9.1,0.42,Budget
2025-05-01,Alberta,South Pit,Copper,94.2,5.8,0.33,Actual
2025-05-01,Alberta,South Pit,Zinc,164.3,5.3,0.32,Actual
2025-05-01,Alberta,South Pit,Nickel,178.2,7.0,0.23,Budget
2025-05-01,Alberta,Mill A,Gold,126.9,3.9,0.16,Actual
2025-05-01,Alberta,Mill A,Copper,132.6,3.7,0.48,Actual
2025-05-01,Alberta,Mill A,Zinc,98.8,3.3,0.27,Actual
2025-05-01,Alberta,Mill A,Nickel,217.5,4.8,0.46,Actual
2025-05-01,Alberta,Mill B,Gold,151.9,3.0,0.17,Budget
2025-05-01,Alberta,Mill B,Copper,172.5,2.2,0.27,Budget
2025-05-01,Alberta,Mill B,Zinc,118.1,3.9,0.11,Actual
2025-05-01,Alberta,Mill B,Nickel,161.7,5.1,0.28,Budget
2025-05-01,Quebec,North Pit,Gold,148.7,4.6,0.19,Budget
2025-05-01,Quebec,North Pit,Copper,148.9,8.5,0.25,Actual
2025-05-01,Quebec,North Pit,Zinc,105.2,5.4,0.11,Actual
2025-05-01,Quebec,North Pit,Nickel,191.6,6.8,0.49,Actual
2025-05-01,Quebec,South Pit,Gold,158.4,6.5,0.47,Budget
2025-05-01,Quebec,South Pit,Copper,191.0,3.2,0.3,Actual
2025-05-01,Quebec,South Pit,Zinc,234.7,3.7,0.28,Actual
2025-05-01,Quebec,South Pit,Nickel,152.1,4.5,0.27,Budget
2025-05-01,Quebec,Mill A,Gold,168.0,3.9,0.12,Budget
2025-05-01,Quebec,Mill A,Copper,228.8,10.4,0.37,Actual
2025-05-01,Quebec,Mill A,Zinc,147.2,4.5,0.31,Budget
2025-05-01,Quebec,Mill A,Nickel,131.4,6.1,0.43,Budget
2025-05-01,Quebec,Mill B,Gold,154.6,4.8,0.14,Actual
2025-05-01,Quebec,Mill B,Copper,128.4,6.2,0.2,Actual
2025-05-01,Quebec,Mill B,Zinc,194.0,10.4,0.3,Actual
2025-05-01,Quebec,Mill B,Nickel,168.4,2.4,0.3,Budget
2025-05-01,Ontario,North Pit,Gold,111.3,6.7,0.28,Actual
2025-05-01,Ontario,North Pit,Copper,165.6,3.6,0.4,Budget
2025-05-01,Ontario,North Pit,Zinc,128.3,7.1,0.49,Budget
2025-05-01,Ontario,North Pit,Nickel,153.3,5.0,0.1,Budget
2025-05-01,Ontario,South Pit,Gold,151.0,5.4,0.28,Actual
2025-05-01,Ontario,South Pit,Copper,148.1,3.3,0.2,Budget
2025-05-01,Ontario,South Pit,Zinc,191.6,7.7,0.39,Actual
2025-05-01,Ontario,South Pit,Nickel,178.9,3.4,0.45,Budget
2025-05-01,Ontario,Mill A,Gold,170.6,4.3,0.16,Budget
2025-05-01,Ontario,Mill A,Copper,151.7,3.0,0.26,Actual
2025-05-01,Ontario,Mill A,Zinc,176.3,5.9,0.45,Budget
2025-05-01,Ontario,Mill A,Nickel,197.6,5.9,0.38,Actual
2025-05-01,Ontario,Mill B,Gold,203.3,3.2,0.57,Actual
2025-05-01,Ontario,Mill B,Copper,96.7,3.3,0.14,Actual
2025-05-01,Ontario,Mill B,Zinc,125.5,6.0,0.43,Budget
2025-05-01,Ontario,Mill B,Nickel,148.2,7.5,0.41,Budget
2025-05-01,British Columbia,North Pit,Gold,165.6,2.5,0.36,Budget
2025-05-01,British Columbia,North Pit,Copper,131.2,8.8,0.17,Budget
2025-05-01,British Columbia,North Pit,Zinc,139.2,8.6,0.44,Actual
2025-05-01,British Columbia,North Pit,Nickel,202.3,9.5,0.47,Actual
2025-05-01,British Columbia,South Pit,Gold,120.1,4.2,0.39,Budget
2025-05-01,British Columbia,South Pit,Copper,156.4,3.7,0.14,Actual
2025-05-01,British Columbia,South Pit,Zinc,92.9,2.8,0.3,Actual
2025-05-01,British Columbia,South Pit,Nickel,206.9,8.5,0.27,Actual
2025-05-01,British Columbia,Mill A,Gold,147.6,8.2,0.3,Budget
2025-05-01,British Columbia,Mill A,Copper,198.4,9.1,0.29,Actual
2025-05-01,British Columbia,Mill A,Zinc,159.0,10.5,0.23,Actual
2025-05-01,British Columbia,Mill A,Nickel,136.7,5.8,0.11,Actual
2025-05-01,British Columbia,Mill B,Gold,116.2,2.0,0.33,Actual
2025-05-01,British Columbia,Mill B,Copper,131.6,2.5,0.47,Actual
2025-05-01,British Columbia,Mill B,Zinc,127.7,6.1,0.39,Actual
2025-05-01,British Columbia,Mill B,Nickel,179.5,8.7,0.21,Budget
2025-05-01,Nova Scotia,North Pit,Gold,235.5,10.1,0.2,Actual
2025-05-01,Nova Scotia,North Pit,Copper,174.4,2.2,0.16,Actual
2025-05-01,Nova Scotia,North Pit,Zinc,150.9,7.7,0.18,Budget
2025-05-01,Nova Scotia,North Pit,Nickel,176.3,8.8,0.23,Budget
2025-05-01,Nova Scotia,South Pit,Gold,233.9,3.6,0.38,Actual
2025-05-01,Nova Scotia,South Pit,Copper,130.5,3.7,0.27,Budget
2025-05-01,Nova Scotia,South Pit,Zinc,145.5,10.5,0.31,Actual
2025-05-01,Nova Scotia,South Pit,Nickel,138.1,7.0,0.32,Budget
2025-05-01,Nova Scotia,Mill A,Gold,142.9,3.3,0.25,Actual
2025-05-01,Nova Scotia,Mill A,Copper,142.3,2.4,0.15,Budget
2025-05-01,Nova Scotia,Mill A,Zinc,161.3,7.2,0.19,Budget
2025-05-01,Nova Scotia,Mill A,Nickel,133.9,7.7,0.14,Actual
2025-05-01,Nova Scotia,Mill B,Gold,178.6,6.1,0.23,Budget
2025-05-01,Nova Scotia,Mill B,Copper,143.2,4.8,0.16,Actual
2025-05-01,Nova Scotia,Mill B,Zinc,163.5,6.7,0.29,Actual
2025-05-01,Nova Scotia,Mill B,Nickel,107.3,6.4,0.13,Actual
2025-06-01,Canada,North Pit,Gold,156.1,2.8,0.3,Actual
2025-06-01,Canada,North Pit,Copper,130.1,5.6,0.28,Budget
2025-06-01,Canada,North Pit,Zinc,86.2,4.8,0.23,Actual
2025-06-01,Canada,North Pit,Nickel,170.6,5.2,0.25,Actual
2025-06-01,Canada,South Pit,Gold,161.3,5.3,0.13,Actual
2025-06-01,Canada,South Pit,Copper,150.1,3.1,0.42,Budget
2025-06-01,Canada,South Pit,Zinc,82.9,6.0,0.22,Actual
2025-06-01,Canada,South Pit,Nickel,175.2,2.1,0.38,Budget
2025-06-01,Canada,Mill A,Gold,195.4,10.6,0.22,Actual
2025-06-01,Canada,Mill A,Copper,170.8,7.1,0.19,Budget
2025-06-01,Canada,Mill A,Zinc,129.5,7.2,0.14,Actual
2025-06-01,Canada,Mill A,Nickel,131.2,5.2,0.23,Budget
2025-06-01,Canada,Mill B,Gold,174.0,4.0,0.59,Actual
2025-06-01,Canada,Mill B,Copper,117.1,6.6,0.3,Actual
2025-06-01,Canada,Mill B,Zinc,126.5,4.6,0.34,Actual
2025-06-01,Canada,Mill B,Nickel,140.8,5.6,0.3,Actual
2025-06-01,Holding Company,North Pit,Gold,147.9,8.0,0.4,Actual
2025-06-01,Holding Company,North Pit,Copper,112.9,6.0,0.26,Actual
2025-06-01,Holding Company,North Pit,Zinc,189.4,4.7,0.58,Actual
2025-06-01,Holding Company,North Pit,Nickel,224.7,11.9,0.29,Actual
2025-06-01,Holding Company,South Pit,Gold,162.0,7.5,0.5,Actual
2025-06-01,Holding Company,South Pit,Copper,144.5,5.8,0.11,Budget
2025-06-01,Holding Company,South Pit,Zinc,113.1,6.8,0.24,Actual
2025-06-01,Holding Company,South Pit,Nickel,202.5,10.6,0.13,Actual
2025-06-01,Holding Company,Mill A,Gold,160.8,4.9,0.18,Actual
2025-06-01,Holding Company,Mill A,Copper,203.0,4.2,0.59,Actual
2025-06-01,Holding Company,Mill A,Zinc,140.2,2.1,0.36,Budget
2025-06-01,Holding Company,Mill A,Nickel,143.8,6.0,0.18,Budget
2025-06-01,Holding Company,Mill B,Gold,158.2,3.9,0.14,Budget
2025-06-01,Holding Company,Mill B,Copper,142.1,7.7,0.24,Actual
2025-06-01,Holding Company,Mill B,Zinc,178.9,4.3,0.29,Budget
2025-06-01,Holding Company,Mill B,Nickel,154.0,2.6,0.19,Budget
2025-06-01,Alberta,North Pit,Gold,157.5,9.2,0.49,Budget
2025-06-01,Alberta,North Pit,Copper,167.1,9.1,0.31,Budget
2025-06-01,Alberta,North Pit,Zinc,135.2,7.6,0.12,Budget
2025-06-01,Alberta,North Pit,Nickel,148.1,7.0,0.45,Budget
2025-06-01,Alberta,South Pit,Gold,209.6,11.2,0.45,Actual
2025-06-01,Alberta,South Pit,Copper,174.2,4.5,0.19,Budget
2025-06-01,Alberta,South Pit,Zinc,169.6,5.7,0.2,Budget
2025-06-01,Alberta,South Pit,Nickel,166.7,5.9,0.47,Budget
2025-06-01,Alberta,Mill A,Gold,103.5,2.0,0.37,Actual
2025-06-01,Alberta,Mill A,Copper,112.8,4.5,0.35,Actual
2025-06-01,Alberta,Mill A,Zinc,179.0,6.2,0.37,Budget
2025-06-01,Alberta,Mill A,Nickel,132.0,10.5,0.46,Actual
2025-06-01,Alberta,Mill B,Gold,116.3,5.6,0.23,Actual
2025-06-01,Alberta,Mill B,Copper,122.1,8.7,0.35,Budget
2025-06-01,Alberta,Mill B,Zinc,180.0,7.3,0.2,Budget
2025-06-01,Alberta,Mill B,Nickel,122.7,7.4,0.46,Budget
2025-06-01,Quebec,North Pit,Gold,171.8,7.1,0.34,Budget
2025-06-01,Quebec,North Pit,Copper,143.2,2.6,0.4,Budget
2025-06-01,Quebec,North Pit,Zinc,161.4,7.3,0.4,Budget
2025-06-01,Quebec,North Pit,Nickel,123.8,2.0,0.27,Actual
2025-06-01,Quebec,South Pit,Gold,125.2,5.4,0.13,Budget
2025-06-01,Quebec,South Pit,Copper,152.2,5.2,0.1,Actual
2025-06-01,Quebec,South Pit,Zinc,114.3,2.0,0.28,Actual
2025-06-01,Quebec,South Pit,Nickel,179.6,4.1,0.13,Budget
2025-06-01,Quebec,Mill A,Gold,151.0,4.1,0.42,Actual
2025-06-01,Quebec,Mill A,Copper,153.1,7.1,0.35,Budget
2025-06-01,Quebec,Mill A,Zinc,143.4,3.0,0.11,Budget
2025-06-01,Quebec,Mill A,Nickel,148.9,8.0,0.35,Actual
2025-06-01,Quebec,Mill B,Gold,162.6,8.8,0.48,Budget
2025-06-01,Quebec,Mill B,Copper,132.2,6.6,0.47,Budget
2025-06-01,Quebec,Mill B,Zinc,143.6,6.6,0.48,Budget
2025-06-01,Quebec,Mill B,Nickel,176.5,2.9,0.35,Budget
2025-06-01,Ontario,North Pit,Gold,147.0,9.9,0.26,Budget
2025-06-01,Ontario,North Pit,Copper,142.6,9.2,0.43,Budget
2025-06-01,Ontario,North Pit,Zinc,143.3,5.8,0.17,Actual
2025-06-01,Ontario,North Pit,Nickel,166.8,8.3,0.29,Budget
2025-06-01,Ontario,South Pit,Gold,148.7,4.2,0.16,Budget
2025-06-01,Ontario,South Pit,Copper,177.6,3.7,0.34,Actual
2025-06-01,Ontario,South Pit,Zinc,175.9,7.9,0.21,Budget
2025-06-01,Ontario,South Pit,Nickel,142.9,2.7,0.35,Budget
2025-06-01,Ontario,Mill A,Gold,126.6,8.0,0.5,Budget
2025-06-01,Ontario,Mill A,Copper,152.4,9.9,0.25,Budget
2025-06-01,Ontario,Mill A,Zinc,124.7,7.2,0.19,Budget
2025-06-01,Ontario,Mill A,Nickel,171.6,2.6,0.24,Budget
2025-06-01,Ontario,Mill B,Gold,99.4,5.9,0.14,Actual
2025-06-01,Ontario,Mill B,Copper,160.3,10.2,0.52,Actual
2025-06-01,Ontario,Mill B,Zinc,148.4,7.5,0.13,Actual
2025-06-01,Ontario,Mill B,Nickel,87.0,2.0,0.29,Actual
2025-06-01,British Columbia,North Pit,Gold,170.8,6.4,0.41,Budget
2025-06-01,British Columbia,North Pit,Copper,157.0,3.8,0.12,Budget
2025-06-01,British Columbia,North Pit,Zinc,181.1,11.4,0.57,Actual
2025-06-01,British Columbia,North Pit,Nickel,165.5,2.3,0.23,Actual
2025-06-01,British Columbia,South Pit,Gold,120.8,4.0,0.2,Actual
2025-06-01,British Columbia,South Pit,Copper,110.7,5.8,0.11,Actual
2025-06-01,British Columbia,South Pit,Zinc,131.0,2.5,0.49,Budget
2025-06-01,British Columbia,South Pit,Nickel,116.7,3.5,0.3,Actual
2025-06-01,British Columbia,Mill A,Gold,215.5,5.4,0.2,Actual
2025-06-01,British Columbia,Mill A,Copper,148.9,7.5,0.13,Budget
2025-06-01,British Columbia,Mill A,Zinc,81.3,2.6,0.29,Actual
2025-06-01,British Columbia,Mill A,Nickel,113.9,3.9,0.17,Actual
2025-06-01,British Columbia,Mill B,Gold,155.0,3.4,0.27,Actual
2025-06-01,British Columbia,Mill B,Copper,151.3,2.2,0.44,Budget
2025-06-01,British Columbia,Mill B,Zinc,151.7,6.0,0.29,Actual
2025-06-01,British Columbia,Mill B,Nickel,145.4,6.6,0.39,Actual
2025-06-01,Nova Scotia,North Pit,Gold,163.8,3.6,0.11,Budget
2025-06-01,Nova Scotia,North Pit,Copper,120.6,3.4,0.28,Actual
2025-06-01,Nova Scotia,North Pit,Zinc,140.7,4.2,0.27,Budget
2025-06-01,Nova Scotia,North Pit,Nickel,123.2,4.6,0.2,Budget
2025-06-01,Nova Scotia,South Pit,Gold,143.9,6.0,0.19,Actual
2025-06-01,Nova Scotia,South Pit,Copper,149.9,3.9,0.39,Budget
2025-06-01,Nova Scotia,South Pit,Zinc,114.1,3.4,0.28,Actual
2025-06-01,Nova Scotia,South Pit,Nickel,184.5,4.2,0.29,Actual
2025-06-01,Nova Scotia,Mill A,Gold,200.0,8.2,0.27,Actual
2025-06-01,Nova Scotia,Mill A,Copper,165.2,9.6,0.25,Actual
2025-06-01,Nova Scotia,Mill A,Zinc,136.8,6.8,0.23,Actual
2025-06-01,Nova Scotia,Mill A,Nickel,174.6,3.6,0.29,Actual
2025-06-01,Nova Scotia,Mill B,Gold,204.1,10.4,0.37,Actual
2025-06-01,Nova Scotia,Mill B,Copper,153.4,4.0,0.42,Budget
2025-06-01,Nova Scotia,Mill B,Zinc,150.0,9.6,0.56,Actual
2025-06-01,Nova Scotia,Mill B,Nickel,132.2,5.4,0.27,Actual
2025-07-01,Canada,North Pit,Gold,141.3,6.9,0.28,Actual
2025-07-01,Canada,North Pit,Copper,130.0,8.0,0.14,Budget
2025-07-01,Canada,North Pit,Zinc,83.5,2.8,0.13,Actual
2025-07-01,Canada,North Pit,Nickel,123.3,8.4,0.15,Budget
2025-07-01,Canada,South Pit,Gold,135.9,3.5,0.25,Actual
2025-07-01,Canada,South Pit,Copper,134.6,7.4,0.41,Actual
2025-07-01,Canada,South Pit,Zinc,88.1,5.4,0.1,Actual
2025-07-01,Canada,South Pit,Nickel,171.9,2.4,0.43,Budget
2025-07-01,Canada,Mill A,Gold,170.6,6.3,0.12,Budget
2025-07-01,Canada,Mill A,Copper,163.8,4.7,0.27,Budget
2025-07-01,Canada,Mill A,Zinc,143.3,2.9,0.26,Budget
2025-07-01,Canada,Mill A,Nickel,167.2,9.4,0.45,Actual
2025-07-01,Canada,Mill B,Gold,223.9,11.3,0.54,Actual
2025-07-01,Canada,Mill B,Copper,130.6,6.5,0.22,Actual
2025-07-01,Canada,Mill B,Zinc,127.6,8.6,0.31,Actual
2025-07-01,Canada,Mill B,Nickel,128.7,5.5,0.13,Budget
2025-07-01,Holding Company,North Pit,Gold,134.7,8.7,0.37,Budget
2025-07-01,Holding Company,North Pit,Copper,159.5,8.5,0.28,Actual
2025-07-01,Holding Company,North Pit,Zinc,145.6,7.9,0.17,Budget
2025-07-01,Holding Company,North Pit,Nickel,153.7,6.1,0.36,Budget
2025-07-01,Holding Company,South Pit,Gold,123.0,3.6,0.47,Budget
2025-07-01,Holding Company,South Pit,Copper,104.3,4.3,0.14,Actual
2025-07-01,Holding Company,South Pit,Zinc,135.2,6.2,0.42,Budget
2025-07-01,Holding Company,South Pit,Nickel,98.5,4.2,0.25,Actual
2025-07-01,Holding Company,Mill A,Gold,199.4,6.9,0.47,Actual
2025-07-01,Holding Company,Mill A,Copper,116.7,3.5,0.32,Actual
2025-07-01,Holding Company,Mill A,Zinc,147.0,8.5,0.38,Budget
2025-07-01,Holding Company,Mill A,Nickel,151.9,7.3,0.2,Budget
2025-07-01,Holding Company,Mill B,Gold,97.4,1.8,0.3,Actual
2025-07-01,Holding Company,Mill B,Copper,142.2,5.0,0.24,Actual
2025-07-01,Holding Company,Mill B,Zinc,197.1,11.7,0.35,Actual
2025-07-01,Holding Company,Mill B,Nickel,179.8,4.1,0.28,Budget
2025-07-01,Alberta,North Pit,Gold,166.6,4.2,0.18,Budget
2025-07-01,Alberta,North Pit,Copper,147.6,4.4,0.25,Budget
2025-07-01,Alberta,North Pit,Zinc,152.2,3.5,0.33,Actual
2025-07-01,Alberta,North Pit,Nickel,136.4,4.4,0.28,Budget
2025-07-01,Alberta,South Pit,Gold,158.3,8.3,0.44,Budget
2025-07-01,Alberta,South Pit,Copper,173.4,5.7,0.1,Budget
2025-07-01,Alberta,South Pit,Zinc,157.8,3.9,0.3,Budget
2025-07-01,Alberta,South Pit,Nickel,200.2,7.0,0.42,Actual
2025-07-01,Alberta,Mill A,Gold,148.6,4.9,0.36,Actual
2025-07-01,Alberta,Mill A,Copper,148.0,7.6,0.45,Budget
2025-07-01,Alberta,Mill A,Zinc,164.6,11.0,0.49,Actual
2025-07-01,Alberta,Mill A,Nickel,153.0,5.7,0.23,Actual
2025-07-01,Alberta,Mill B,Gold,129.5,7.1,0.11,Budget
2025-07-01,Alberta,Mill B,Copper,142.5,6.7,0.2,Budget
2025-07-01,Alberta,Mill B,Zinc,179.8,2.7,0.12,Budget
2025-07-01,Alberta,Mill B,Nickel,164.9,8.6,0.14,Budget
2025-07-01,Quebec,North Pit,Gold,161.3,7.1,0.49,Budget
2025-07-01,Quebec,North Pit,Copper,104.8,1.7,0.2,Actual
2025-07-01,Quebec,North Pit,Zinc,131.4,9.1,0.4,Budget
2025-07-01,Quebec,North Pit,Nickel,175.6,7.5,0.34,Budget
2025-07-01,Quebec,South Pit,Gold,148.4,3.7,0.15,Budget
2025-07-01,Quebec,South Pit,Copper,166.9,3.6,0.24,Budget
2025-07-01,Quebec,South Pit,Zinc,139.7,7.1,0.14,Budget
2025-07-01,Quebec,South Pit,Nickel,160.0,3.0,0.48,Budget
2025-07-01,Quebec,Mill A,Gold,132.3,5.5,0.35,Budget
2025-07-01,Quebec,Mill A,Copper,140.0,2.4,0.42,Actual
2025-07-01,Quebec,Mill A,Zinc,201.2,5.9,0.39,Actual
2025-07-01,Quebec,Mill A,Nickel,142.5,7.4,0.29,Budget
2025-07-01,Quebec,Mill B,Gold,111.7,6.3,0.23,Actual
2025-07-01,Quebec,Mill B,Copper,151.0,4.9,0.45,Budget
2025-07-01,Quebec,Mill B,Zinc,158.3,9.9,0.29,Actual
2025-07-01,Quebec,Mill B,Nickel,175.3,6.8,0.15,Actual
2025-07-01,Ontario,North Pit,Gold,155.3,2.9,0.24,Budget
2025-07-01,Ontario,North Pit,Copper,196.6,4.6,0.18,Actual
2025-07-01,Ontario,North Pit,Zinc,141.1,5.3,0.1,Actual
2025-07-01,Ontario,North Pit,Nickel,136.7,7.9,0.34,Budget
2025-07-01,Ontario,South Pit,Gold,168.4,3.9,0.21,Budget
2025-07-01,Ontario,South Pit,Copper,153.7,8.2,0.25,Budget
2025-07-01,Ontario,South Pit,Zinc,100.5,4.6,0.18,Actual
2025-07-01,Ontario,South Pit,Nickel,89.4,6.9,0.14,Actual
2025-07-01,Ontario,Mill A,Gold,138.8,7.6,0.47,Budget
2025-07-01,Ontario,Mill A,Copper,154.8,9.2,0.46,Actual
2025-07-01,Ontario,Mill A,Zinc,142.7,2.7,0.34,Actual
2025-07-01,Ontario,Mill A,Nickel,137.9,4.3,0.36,Budget
2025-07-01,Ontario,Mill B,Gold,174.3,7.3,0.42,Budget
2025-07-01,Ontario,Mill B,Copper,136.6,7.5,0.13,Budget
2025-07-01,Ontario,Mill B,Zinc,179.6,6.3,0.2,Actual
2025-07-01,Ontario,Mill B,Nickel,156.9,7.8,0.34,Actual
2025-07-01,British Columbia,North Pit,Gold,142.2,6.3,0.13,Budget
2025-07-01,British Columbia,North Pit,Copper,160.7,8.8,0.43,Budget
2025-07-01,British Columbia,North Pit,Zinc,153.4,7.1,0.39,Budget
2025-07-01,British Columbia,North Pit,Nickel,178.0,12.3,0.43,Actual
2025-07-01,British Columbia,South Pit,Gold,127.4,5.9,0.27,Actual
2025-07-01,British Columbia,South Pit,Copper,153.8,4.5,0.32,Budget
2025-07-01,British Columbia,South Pit,Zinc,87.2,4.4,0.07,Actual
2025-07-01,British Columbia,South Pit,Nickel,161.2,5.1,0.49,Actual
2025-07-01,British Columbia,Mill A,Gold,161.4,8.6,0.2,Budget
2025-07-01,British Columbia,Mill A,Copper,141.2,9.1,0.15,Budget
2025-07-01,British Columbia,Mill A,Zinc,193.7,7.0,0.51,Actual
2025-07-01,British Columbia,Mill A,Nickel,141.7,7.9,0.32,Budget
2025-07-01,British Columbia,Mill B,Gold,96.8,4.0,0.1,Actual
2025-07-01,British Columbia,Mill B,Copper,167.8,9.3,0.45,Budget
2025-07-01,British Columbia,Mill B,Zinc,133.9,9.9,0.27,Budget
2025-07-01,British Columbia,Mill B,Nickel,209.7,5.6,0.42,Actual
2025-07-01,Nova Scotia,North Pit,Gold,123.1,6.0,0.19,Actual
2025-07-01,Nova Scotia,North Pit,Copper,132.9,4.0,0.27,Actual
2025-07-01,Nova Scotia,North Pit,Zinc,234.4,3.4,0.49,Actual
2025-07-01,Nova Scotia,North Pit,Nickel,122.5,3.6,0.41,Budget
2025-07-01,Nova Scotia,South Pit,Gold,201.4,7.3,0.4,Actual
2025-07-01,Nova Scotia,South Pit,Copper,168.8,2.1,0.38,Actual
2025-07-01,Nova Scotia,South Pit,Zinc,175.4,10.2,0.33,Actual
2025-07-01,Nova Scotia,South Pit,Nickel,123.1,8.1,0.22,Actual
2025-07-01,Nova Scotia,Mill A,Gold,140.1,5.9,0.14,Budget
2025-07-01,Nova Scotia,Mill A,Copper,224.3,10.5,0.6,Actual
2025-07-01,Nova Scotia,Mill A,Zinc,152.0,2.4,0.12,Actual
2025-07-01,Nova Scotia,Mill A,Nickel,173.2,3.3,0.45,Budget
2025-07-01,Nova Scotia,Mill B,Gold,143.9,5.7,0.24,Actual
2025-07-01,Nova Scotia,Mill B,Copper,213.4,7.6,0.5,Actual
2025-07-01,Nova Scotia,Mill B,Zinc,114.9,5.9,0.21,Actual
2025-07-01,Nova Scotia,Mill B,Nickel,142.8,4.1,0.2,Actual
2025-08-01,Canada,North Pit,Gold,142.2,10.3,0.56,Actual
